node,lineage_dNdS,Species,LQ
ajXP_037021646_2,0.6447662797556627,Artibeus_jamaicensis,2.6
drXP_024407147_2,0.6348125756531185,Desmodus_rotundus,4.3
lcg2410_t1,0.4301411447816579,Lasiurus_cinereus,2.1
mag2668_t1,0.5114870184859704,Myotis_nattereri,4.5
mbXP_005876657_1,0.6126966407371552,Myotis_brandtii,7.8
mdXP_059566936_1,0.4461658860560749,Myotis_daubentonii,5.2
meg1723_t1,0.4609160486663674,Myotis_emarginatus,4.0
miKAM7158696_1,0.417528191746832,Molossus_nigricans,1.0
mlXP_006085874_2,0.6367110539318346,Myotis_lucifugus,6.0
mmXP_036208711_1,0.4530010099877727,Myotis_myotis,5.5
mnXP_016053937_1,0.4176051040271159,Miniopterus_natalensis,2.3
moXP_036132310_1,0.4166305421979349,Molossus_molossus,0.9
msg1727_t1,0.5177808546760386,Myotis_mystacinus,4.8
mvg29834_t1,0.5723989262646264,Myotis_vivesi,1.5
myXP_070263421_1,0.5730938085072733,Myotis_yumanensis,2.7
nlg3721_t1,0.5609002211426517,Nyctalus_leisleri,2.6
paXP_006913548_1,0.2247610398021484,Pteropus_alecto,1.6
pdXP_028363198_1,0.6345346129052083,Phyllostomus_discolor,2.0
pgXP_039712472_1,0.2605346740940629,Pteropus_giganteus,2.9
phXP_045704658_1,0.6242802011450056,Phyllostomus_hastatus,2.7
pkXP_036308289_1,0.568570910661911,Pipistrellus_kuhlii,1.6
pnCAK6432613_1,0.5309327725367528,Pipistrellus_nathusii,2.0
ppg3132_t1,0.5453045701589851,Pipistrellus_pipistrellus,3.4
pug1404_t1,0.5138825467356465,Plecotus_auritus,5.6
pvXP_011375432_1,0.2500586124523693,Pteropus_vampyrus,1.9
raXP_015994075_2,0.3330561863057511,Rousettus_aegyptiacus,2.6
rfXP_032965580_1,0.460152753814045,Rhinolophus_ferrumequinum,4.7
rhg6641_t1,0.5508874978874403,Rhinolophus_hipposideros,6.1
rsXP_019569196_2,0.3823897183445119,Rhinolophus_sinicus,0.8
sbXP_066133900_1,0.4217640187447324,Saccopteryx_bilineata,1.1
