node,lineage_dNdS,Species,LQ
ajXP_037010567_1,0.157669641630653,Artibeus_jamaicensis,2.6
drXP_024409158_2,0.1817714527838034,Desmodus_rotundus,4.3
lcg18142_t1,0.1932538172278176,Lasiurus_cinereus,2.1
mag18797_t1,0.2216963131202972,Myotis_nattereri,4.5
mbXP_014392669_1,0.261360957921516,Myotis_brandtii,7.8
mdXP_059548810_1,0.2277709559938384,Myotis_daubentonii,5.2
meg11775_t1,0.2061276370900126,Myotis_emarginatus,4.0
miKAM7149583_1,0.1523782909574679,Molossus_nigricans,1.0
mlXP_006090523_1,0.2218300577945381,Myotis_lucifugus,6.0
mmXP_036166461_1,0.2286638594424777,Myotis_myotis,5.5
mnXP_016066892_1,0.2377179624638782,Miniopterus_natalensis,2.3
moXP_036136823_1,0.166315703746212,Molossus_molossus,0.9
msg9678_t1,0.1932583431560765,Myotis_mystacinus,4.8
mvg5019_t1,0.1976270815441022,Myotis_vivesi,1.5
myXP_070269275_1,0.2297942578839609,Myotis_yumanensis,2.7
nlg13666_t1,0.1523530180742155,Nyctalus_leisleri,2.6
paXP_006914247_1,0.1158884766868245,Pteropus_alecto,1.6
pdXP_028383605_1,0.1820078086247887,Phyllostomus_discolor,2.0
pgXP_039741040_1,0.1251855393348885,Pteropus_giganteus,2.9
phXP_045676835_1,0.1877901843306789,Phyllostomus_hastatus,2.7
pkXP_036265755_1,0.1594814869633906,Pipistrellus_kuhlii,1.6
pnCAK6444763_1,0.1505664915781516,Pipistrellus_nathusii,2.0
ppg13451_t1,0.1534650377100727,Pipistrellus_pipistrellus,3.4
pug16789_t1,0.1959579317220133,Plecotus_auritus,5.6
pvXP_011374871_1,0.1354212015641592,Pteropus_vampyrus,1.9
raXP_015977739_1,0.1396926140618047,Rousettus_aegyptiacus,2.6
rfXP_032957016_1,0.2542786829928477,Rhinolophus_ferrumequinum,4.7
rhg36464_t1,0.2531575224747774,Rhinolophus_hipposideros,6.1
rsXP_074178939_1,0.2340952891327377,Rhinolophus_sinicus,0.8
sbXP_066131224_1,0.1564057999971122,Saccopteryx_bilineata,1.1
