node,lineage_dNdS,Species,LQ
ajXP_053514825_1,0.1000699755956067,Artibeus_jamaicensis,2.6
drXP_045052469_2,0.1043660713282613,Desmodus_rotundus,4.3
lcg45741_t1,0.08459565562557622,Lasiurus_cinereus,2.1
mag56686_t1,0.07902118119509406,Myotis_nattereri,4.5
mbXP_014389040_1,0.1734155076036227,Myotis_brandtii,7.8
mdXP_059534255_1,0.07536443002067705,Myotis_daubentonii,5.2
meg32967_t1,0.08503583235228551,Myotis_emarginatus,4.0
miKAM7048458_1,0.1211649811461419,Molossus_nigricans,1.0
mlXP_023604683_1,0.07657724303121698,Myotis_lucifugus,6.0
mmXP_036211601_1,0.0885772687200644,Myotis_myotis,5.5
mnXP_016053225_1,0.09955970876015995,Miniopterus_natalensis,2.3
moXP_036133937_1,0.1286456545358021,Molossus_molossus,0.9
msg29527_t1,0.09324719437118807,Myotis_mystacinus,4.8
mvg14428_t1,0.08046021144212114,Myotis_vivesi,1.5
myXP_070256861_1,0.07669222305203485,Myotis_yumanensis,2.7
nlg44661_t1,0.07676261590040129,Nyctalus_leisleri,2.6
paXP_024906102_1,0.07552697509433763,Pteropus_alecto,1.6
pdXP_035869052_1,0.08431176427812904,Phyllostomus_discolor,2.0
pgXP_039714235_1,0.08903568675282456,Pteropus_giganteus,2.9
phXP_045680680_1,0.08165713246305645,Phyllostomus_hastatus,2.7
pkXP_036267715_1,0.07231169239310214,Pipistrellus_kuhlii,1.6
pnCAK6442442_1,0.07497813124376723,Pipistrellus_nathusii,2.0
ppg43526_t1,0.07982136196669028,Pipistrellus_pipistrellus,3.4
pug28468_t1,0.1043733945528806,Plecotus_auritus,5.6
pvXP_011377965_1,0.07585452057724434,Pteropus_vampyrus,1.9
raXP_016007097_2,0.09076960066984141,Rousettus_aegyptiacus,2.6
rfXP_032955963_1,0.09497261473430539,Rhinolophus_ferrumequinum,4.7
rhg37129_t1,0.1086775666111819,Rhinolophus_hipposideros,6.1
rsXP_019582311_2,0.08194233984982693,Rhinolophus_sinicus,0.8
sbXP_066096405_1,0.140147614897852,Saccopteryx_bilineata,1.1
